timestamp,open,high,low,close,volume
2018/3/1,1127.8,1144.04,1067.001,1069.52,7622576
2018/2/23,1090.57,1133.97,1088.52,1126.79,5339418
2018/2/16,1048,1104.67,1040.93,1094.8,8206323
2018/2/9,1090.6,1110,992.56,1037.78,15017278
2018/2/2,1176.48,1186.89,1107.28,1111.9,10919339
2018/1/26,1137.49,1179.86,1135.11,1175.84,7285183
2018/1/19,1132.51,1139.91,1117.01,1137.51,5195629
2018/1/12,1102.23,1124.29,1096.11,1122.26,5603488
2018/1/5,1048.34,1104.25,1045.23,1102.23,4840691
2017/12/29,1058.07,1060.12,1044.77,1046.4,3668665
2017/12/22,1066.08,1078.49,1059.44,1060.12,5761412
2017/12/15,1035.5,1067.62,1032.05,1064.19,8284597
2017/12/8,1012.66,1042.05,988.28,1037.05,7834622
2017/12/1,1040,1062.38,1002.02,1010.17,8696086
2017/11/24,1020.26,1043.18,1017.5,1040.61,3232178
2017/11/17,1023.42,1035.92,1014.15,1019.09,5165760
2017/11/10,1028.99,1043.522,1019.666,1028.07,5253864
2017/11/3,1014,1032.65,1007.5,1032.48,6826707
2017/10/27,989.52,1048.39,960.52,1019.27,10536364
2017/10/20,992.1,996.72,978.39,988.2,5592464
2017/10/13,980,997.21,966.08,989.68,5909839
2017/10/6,959.98,979.46,947.84,978.89,5329768
2017/9/29,925.45,959.786,909.7,959.11,8171469
2017/9/22,920.01,936.53,910.6,928.53,5930244
2017/9/15,934.25,938.38,916.36,920.29,7297681
2017/9/8,933.08,937,919.27,926.5,4865060
2017/9/1,916,942.48,905,937.34,6001425
2017/8/25,910,930.84,903.4,915.89,5415851
2017/8/18,922.53,932.7,907.154,910.67,5462037
2017/8/11,929.06,935.814,905.58,914.39,6133875
2017/8/4,941.89,943.59,916.68,927.96,7178897
2017/7/28,972.22,986.2,920,941.53,14187107
2017/7/21,957,975.9,949.241,972.92,6727176
2017/7/14,921.77,956.91,919.59,955.99,6097762
2017/7/7,912.18,921.54,894.79,918.59,6451253
2017/6/30,969.9,973.31,908.31,908.73,12131348
2017/6/23,949.96,966,949.05,965.59,6132754
2017/6/16,939.56,961.15,915.233,939.78,12181318
2017/6/9,976.55,988.25,935.63,949.83,9170189
2017/6/2,970.31,979.27,960.01,975.6,7002687
2017/5/26,935,974.98,935,971.47,6233768
2017/5/19,932.95,943.11,918.14,934.01,7343050
2017/5/12,926.12,937.5,923.03,932.22,5933982
2017/5/5,901.94,935.93,901.45,927.13,8409127
2017/4/28,851.2,916.85,849.86,905.96,9108988
2017/4/21,825.01,845.2,824.47,843.19,4968681
2017/4/13,825.39,829.35,817.02,823.56,4081479
2017/4/7,829.22,842.45,820.513,824.67,6583319
2017/3/31,806.95,833.68,803.37,829.56,7759085
2017/3/24,850.01,853.5,808.89,814.43,10564532
2017/3/17,844,853.4,840.77,852.12,6079350
2017/3/10,826.95,844.91,822.4,843.25,6101981
2017/3/3,824.55,836.255,820.2,829.08,6697629
2017/2/24,828.66,833.45,822.88,828.64,5114558
2017/2/17,816,828.07,815.49,828.07,6480338
2017/2/10,799.7,815.25,795.2501,813.67,5707061
